Scale, N, Approximate Area, Relative Deviation
1.15, 20100, 0.946723, 0.00233562
1.15, 20600, 0.935603, 0.00943742
1.15, 21100, 0.940854, 0.00387842
1.15, 21600, 0.963719, 0.0203299
1.15, 22100, 0.90759, 0.0390964
1.15, 22600, 0.94554, 0.001083
1.15, 23100, 0.945112, 0.000629292
1.15, 23600, 0.901661, 0.0453735
1.15, 24100, 0.917632, 0.028464
1.15, 24600, 0.938181, 0.0067082
1.15, 25100, 0.938446, 0.00642821
1.15, 25600, 0.969839, 0.0268094
1.15, 26100, 0.959634, 0.0160052
1.15, 26600, 0.939663, 0.00513963
1.15, 27100, 0.928494, 0.0169649
1.15, 27600, 0.929375, 0.0160312
1.15, 28100, 0.916499, 0.029664
1.15, 28600, 0.949928, 0.00572899
1.15, 29100, 0.938467, 0.00640584
1.15, 29600, 0.938686, 0.00617352
1.15, 30100, 0.955985, 0.0121412
1.15, 30600, 0.942465, 0.00217277
1.15, 31100, 0.924419, 0.021279
1.15, 31600, 0.934205, 0.010918
1.15, 32100, 0.951297, 0.00717767
1.15, 32600, 0.95406, 0.0101033
1.15, 33100, 0.940813, 0.0039213
1.15, 33600, 0.96087, 0.0173138
1.15, 34100, 0.947913, 0.0035948
1.15, 34600, 0.942018, 0.00264591
1.15, 35100, 0.959735, 0.0161122
1.15, 35600, 0.943006, 0.00160044
1.15, 36100, 0.928164, 0.0173141
1.15, 36600, 0.953775, 0.00980207
1.15, 37100, 0.917008, 0.0291247
1.15, 37600, 0.969102, 0.0260287
1.15, 38100, 0.96887, 0.0257835
1.15, 38600, 0.931671, 0.0136009
1.15, 39100, 0.980592, 0.0381937
1.15, 39600, 0.93282, 0.0123844
1.15, 40100, 0.925678, 0.0199462
1.15, 40600, 0.94183, 0.00284554
1.15, 41100, 0.942572, 0.00205911
1.15, 41600, 0.935879, 0.00914513
1.15, 42100, 0.954083, 0.0101281
1.15, 42600, 0.944394, 0.000130156
1.15, 43100, 0.957304, 0.0135378
1.15, 43600, 0.951929, 0.00784685
1.15, 44100, 0.931806, 0.0134578
1.15, 44600, 0.932603, 0.0126141
1.15, 45100, 0.950773, 0.00662289
1.15, 45600, 0.956983, 0.0131984
1.15, 46100, 0.947441, 0.00309514
1.15, 46600, 0.924859, 0.0208131
1.15, 47100, 0.956261, 0.012434
1.15, 47600, 0.923257, 0.0225094
1.15, 48100, 0.953756, 0.00978119
1.15, 48600, 0.952674, 0.00863575
1.15, 49100, 0.918881, 0.0271422
1.15, 49600, 0.948761, 0.004493
1.15, 50100, 0.976761, 0.0341382
1.15, 50600, 0.935347, 0.00970906
1.15, 51100, 0.947834, 0.00351121
1.15, 51600, 0.923699, 0.0220416
1.15, 52100, 0.923471, 0.0222821
1.15, 52600, 0.927404, 0.0181185
1.15, 53100, 0.94458, 6.66285e-05
1.15, 53600, 0.939367, 0.0054528
1.15, 54100, 0.95564, 0.0117759
1.15, 54600, 0.937233, 0.00771155
1.15, 55100, 0.969565, 0.0265189
1.15, 55600, 0.932633, 0.0125822
1.15, 56100, 0.980014, 0.0375818
1.15, 56600, 0.95023, 0.00604855
1.15, 57100, 0.936055, 0.00895946
1.15, 57600, 0.925474, 0.0201619
1.15, 58100, 0.945836, 0.00139609
1.15, 58600, 0.961901, 0.0184048
1.15, 59100, 0.940057, 0.00472226
1.15, 59600, 0.926777, 0.018782
1.15, 60100, 0.945381, 0.000914627
1.15, 60600, 0.935884, 0.00914081
1.15, 61100, 0.944428, 9.40696e-05
1.15, 61600, 0.921526, 0.0243422
1.15, 62100, 0.937088, 0.00786572
1.15, 62600, 0.939257, 0.00556964
